title,price,img,dispatch,sku
"
Hills Prescription Diet AD Dog & Cat Food »
Liver & Chicken Wet » 24 x 156g Cans
",£40.90,http://static1.viovet.co.uk/pi/created_1350058007.png,"
 Estimated dispatch within 24 working hours.
",110368
"
Hills Prescription Diet B/D Dog Food »
Dry » 12kg Bag
",£57.31,http:,"
 Estimated dispatch within 2 working days.
",125873
"
Hills Prescription Diet C/D Dog Food »
Dry » 2kg Bag
",£13.33,http:,"
 Estimated dispatch within 24 working hours.
",110256
"
Hills Prescription Diet C/D Dog Food »
Dry » 5kg Bag
",£30.55,http:,"
 Estimated dispatch within 2 working days.
",110257
"
Hills Prescription Diet C/D Dog Food »
Dry » 12kg Bag
",£55.31,http:,"
 Estimated dispatch within 24 working hours.
",117721
"
Hills Prescription Diet C/D Dog Food »
Wet » 12 x 370g Cans
",£23.49,http:,"
 Estimated dispatch within 24 working hours.
",110259
"
Hills Prescription Diet D/D Dog Food »
Duck & Rice Dry » 5kg Bag
",£32.51,http:,"
 Estimated dispatch within 24 working hours.
",110313
"
Hills Prescription Diet D/D Dog Food »
Duck & Rice Dry » 12kg Bag
",£59.47,http:,"
 Estimated dispatch within 24 working hours.
",117689
"
Hills Prescription Diet D/D Dog Food »
Duck Wet » 12 x 370g Cans
",£23.09,http:,"",110319
"
Hills Prescription Diet D/D Dog Food »
Lamb & Rice Wet » 12 x 370g Cans
",£23.31,http:,"
 Estimated dispatch within 24 working hours.
",110320
"
Hills Prescription Diet D/D Dog Food »
Salmon & Rice Dry » 2kg Bag
",£15.04,http:,"
 Estimated dispatch within 24 working hours.
",110309
"
Hills Prescription Diet D/D Dog Food »
Salmon & Rice Dry » 5kg Bag
",£31.78,http:,"
 Estimated dispatch within 2 working days.
",110312
"
Hills Prescription Diet D/D Dog Food »
Salmon & Rice Dry » 12kg Bag
",£59.62,http:,"
 Estimated dispatch within 24 working hours.
",117753
"
Hills Prescription Diet D/D Dog Food »
Salmon Wet » 12 x 370g Cans
",£22.99,http:,"
 Estimated dispatch within 24 working hours.
",112180
"
Hills Prescription Diet D/D Dog Food »
Venison Wet » 12 x 370g Cans
",£22.85,http:,"
 Estimated dispatch within 24 working hours.
",110317
"
Hills Prescription Diet H/D Dog Food »
Dry » 5kg Bag
",£36.38,http:,"
 Estimated dispatch within 24 working hours.
",110321
"
Hills Prescription Diet H/D Dog Food »
Wet » 12 x 370g Cans
",£25.66,http:,"
 Estimated dispatch within 24 working hours.
",110322
"
Hills Prescription Diet I/D Dog Food »
Dry » 2kg Bag
",£14.65,http:,"
 Estimated dispatch within 24 working hours.
",110324
"
Hills Prescription Diet I/D Dog Food »
Dry » 5kg Bag
",£30.61,http:,"
 Estimated dispatch within 24 working hours.
",110325
"
Hills Prescription Diet I/D Dog Food »
Dry » 12kg Bag
",£49.86,http:,"
 Estimated dispatch within 24 working hours.
",117688
"
Hills Prescription Diet I/D Dog Food »
Low Fat Dry » 1.5kg Bag
",£11.13,http:,"
 Estimated dispatch within 24 working hours.
",140544
"
Hills Prescription Diet I/D Dog Food »
Low Fat Dry » 6kg Bag
",£34.24,http:,"
 Estimated dispatch within 24 working hours.
",140546
"
Hills Prescription Diet I/D Dog Food »
Low Fat Dry » 12kg Bag
",£60.28,http:,"
 Estimated dispatch within 24 working hours.
",140547
"
Hills Prescription Diet I/D Dog Food »
Low Fat Wet » 12 x 360g Cans
",£23.14,http:,"
 Estimated dispatch within 24 working hours.
",140548
"
Hills Prescription Diet I/D Dog Food »
Recovery Pack Wet » 3 x 360g Cans
",£5.90,http:,"
 Estimated dispatch within 24 working hours.
",153711
"
Hills Prescription Diet I/D Dog Food »
Recovery Pack Wet » 12 x 360g Cans
",£23.65,http:,"
 Estimated dispatch within 24 working hours.
",110327
